chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,face_shape
129.28,106.54,122.66,1.54,2.13,2.43,1.34,0.64,0.63,0.13183255227290194,0.0981021317309402,0.08570605726318116,0.20864025731583694,0.1429583550882659,0.12202697382547194,0.07702843804575601,0.13370523445764593,0.02879637005980707,0.02683631379668434,0.029951509380216564,0.07677828995709104,Heart_face_shape
128.18,105.68,154.26,1.76,2.09,2.59,1.42,0.66,0.68,0.1391496465783211,0.09773400717020096,0.07910363398485581,0.20465136262210076,0.14369091904635034,0.12328793629538705,0.07814673349158484,0.1342357608111992,0.0285661944281659,0.028905741338879985,0.031874571721094695,0.05897688553645409,Heart_face_shape
128.62,103.44,163.62,1.64,2.32,2.86,1.33,0.58,0.57,0.12944357095190115,0.09754364914338007,0.07889957424940014,0.22603455677662826,0.13961314295858393,0.12007709080177248,0.07756076536881536,0.1308276497495186,0.028575070555640035,0.029586706204526032,0.0326092462988119,0.07280662220847225,Heart_face_shape
126.06,103.66,164.48,1.8,2.15,2.83,1.37,0.64,0.64,0.13468046436763512,0.09842952611321765,0.0746682081103469,0.2114020046534622,0.14395885158767144,0.12351098236524007,0.07854645417008828,0.1348035086323382,0.028601114438187906,0.029188835864754663,0.03437798291385619,0.06985652988247029,Heart_face_shape
125.02,103.82,142.96,1.72,2.41,2.92,1.42,0.56,0.59,0.13578821292176096,0.09555316318785764,0.07887839535785907,0.23028002668469733,0.1391441727495325,0.1173072302937154,0.07375472072037384,0.12929407808420315,0.02743060874299455,0.026775237447990853,0.03160916602301736,0.09365473945169689,Heart_face_shape
118.02,90.0,159.18,1.86,2.57,3.43,1.39,0.5,0.54,0.13480972474857694,0.09681886584512422,0.07240788355668341,0.24858833541807387,0.1355508545373346,0.11413725391368547,0.07234333290723105,0.12534374907329046,0.027529707334259856,0.02758621722745962,0.028547954295141127,0.11391873950666627,Heart_face_shape
145.18,123.44,160.34,1.7,2.26,2.76,1.39,0.61,0.61,0.1342276205265966,0.09654597757944075,0.07908715123748958,0.21833786481343354,0.14242887234875212,0.12105784654491099,0.07578219358385728,0.13253247336551913,0.02937113371666059,0.03001355988138506,0.03220590777457245,0.07102175725453547,Heart_face_shape
115.22,90.32,129.98,1.75,2.23,2.74,1.42,0.63,0.64,0.13639877586724775,0.09590120938170495,0.07815708017986547,0.21420798754524542,0.14305585054359948,0.1224475697416681,0.07578276871137542,0.13404875802929328,0.027151025763791505,0.02601042223342729,0.030771385536195597,0.08209845060201386,Heart_face_shape
135.92,113.34,136.12,1.66,2.47,2.85,1.44,0.55,0.58,0.13577234511855385,0.09428426084626777,0.08178147319761259,0.2327146427989462,0.13803730080777565,0.11644881714491719,0.07253395126623936,0.1284272088196874,0.028274000543614286,0.028690838759483597,0.030146855625589133,0.09186310530506167,Heart_face_shape
124.06,100.98,158.98,1.82,2.3,3.08,1.36,0.58,0.59,0.13389087735038216,0.09829248647428886,0.07353984108616093,0.2265373378165647,0.1421401067651974,0.11894061038215986,0.07515991800538654,0.1314988221198595,0.027811639329389057,0.03082148983520151,0.031953798378447,0.0858202283033036,Heart_face_shape
118.14,92.44,156.2,1.67,2.29,2.78,1.37,0.62,0.6,0.13005523524789617,0.09475169334807436,0.07785179995650571,0.2167891656168029,0.14328163295683996,0.12298014044197161,0.07953469777278332,0.13475563465912585,0.027166363402823912,0.028874279596530033,0.03181047305401448,0.07437387278600531,Heart_face_shape
125.0,100.18,139.5,1.75,2.24,2.65,1.48,0.64,0.66,0.1385123456487787,0.09368575293897372,0.07920159732186695,0.20995700888213362,0.1429477450946782,0.12367305804718179,0.07743169206955149,0.13459079999683546,0.027880394477613025,0.025965419248064784,0.02952169885164337,0.07515975812145392,Heart_face_shape
115.02,92.6,153.56,1.73,2.27,2.85,1.38,0.61,0.61,0.13340873007239057,0.09679933075825511,0.0770126921989018,0.21946767979742374,0.14248129930894993,0.12087298370216748,0.07672814263284569,0.1332291415290657,0.028318328834440007,0.031008785386767948,0.03157554782992339,0.08076701844190566,Heart_face_shape
122.48,97.58,151.66,1.79,2.91,3.66,1.43,0.47,0.49,0.12904203705969874,0.09052291854054792,0.07189802826522121,0.2634185640250501,0.13306404170569117,0.11364569928521884,0.07389367667389267,0.1245150344446792,0.02715394015972785,0.02544917306118834,0.029945960779338275,0.13826403179109978,Heart_face_shape
