chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,face_shape
0.81,0.78,0.57,0.7,0.51,0.47,0.83,0.93,0.88,0.92,0.97,0.95,0.61,0.97,0.96,0.93,0.97,0.93,0.75,0.81,0.33,Heart_face_shape
0.81,0.77,0.72,0.8,0.5,0.51,0.88,0.96,0.94,0.98,0.96,0.88,0.6,0.97,0.97,0.94,0.97,0.92,0.81,0.86,0.26,Heart_face_shape
0.81,0.75,0.76,0.75,0.56,0.56,0.83,0.84,0.79,0.91,0.96,0.87,0.66,0.94,0.94,0.94,0.95,0.92,0.83,0.88,0.32,Heart_face_shape
0.79,0.76,0.77,0.82,0.52,0.55,0.85,0.93,0.89,0.94,0.97,0.83,0.62,0.97,0.97,0.95,0.98,0.92,0.82,0.93,0.3,Heart_face_shape
0.79,0.76,0.67,0.79,0.58,0.57,0.88,0.81,0.82,0.95,0.94,0.87,0.67,0.94,0.92,0.89,0.94,0.89,0.75,0.85,0.41,Heart_face_shape
0.74,0.66,0.74,0.85,0.62,0.67,0.86,0.72,0.75,0.95,0.95,0.8,0.73,0.92,0.89,0.87,0.91,0.89,0.77,0.77,0.5,Heart_face_shape
0.91,0.9,0.75,0.78,0.54,0.54,0.86,0.88,0.85,0.94,0.95,0.88,0.64,0.96,0.95,0.92,0.96,0.95,0.84,0.87,0.31,Heart_face_shape
0.72,0.66,0.61,0.8,0.53,0.54,0.88,0.91,0.89,0.96,0.94,0.87,0.63,0.97,0.96,0.92,0.97,0.88,0.73,0.83,0.36,Heart_face_shape
0.85,0.83,0.64,0.76,0.59,0.56,0.89,0.8,0.81,0.95,0.93,0.91,0.68,0.93,0.91,0.88,0.93,0.91,0.8,0.81,0.4,Heart_face_shape
0.78,0.74,0.74,0.83,0.55,0.6,0.84,0.84,0.82,0.94,0.97,0.81,0.66,0.96,0.93,0.91,0.95,0.9,0.86,0.86,0.37,Heart_face_shape
0.74,0.67,0.73,0.76,0.55,0.54,0.85,0.9,0.83,0.91,0.93,0.86,0.63,0.97,0.96,0.96,0.98,0.88,0.81,0.86,0.32,Heart_face_shape
0.79,0.73,0.65,0.8,0.54,0.52,0.92,0.93,0.92,0.97,0.92,0.88,0.61,0.97,0.97,0.94,0.98,0.9,0.73,0.8,0.33,Heart_face_shape
0.72,0.68,0.72,0.79,0.54,0.56,0.86,0.88,0.85,0.94,0.95,0.85,0.64,0.96,0.95,0.93,0.97,0.91,0.87,0.85,0.35,Heart_face_shape
0.77,0.71,0.71,0.82,0.7,0.71,0.89,0.68,0.68,0.9,0.89,0.8,0.77,0.9,0.89,0.89,0.9,0.88,0.71,0.81,0.6,Heart_face_shape
0.71,0.66,0.58,0.7,0.61,0.54,0.88,0.81,0.76,0.9,0.9,0.92,0.68,0.95,0.92,0.92,0.94,0.86,0.72,0.87,0.44,Heart_face_shape
0.78,0.72,0.7,0.81,0.53,0.54,0.88,0.91,0.89,0.96,0.94,0.85,0.62,0.97,0.97,0.94,0.97,0.89,0.76,0.86,0.33,Heart_face_shape
0.79,0.75,0.67,0.78,0.52,0.52,0.86,0.91,0.89,0.95,0.96,0.88,0.62,0.97,0.96,0.93,0.97,0.94,0.85,0.84,0.33,Heart_face_shape
0.71,0.63,0.65,0.72,0.6,0.57,0.84,0.78,0.75,0.9,0.94,0.9,0.7,0.93,0.91,0.9,0.93,0.89,0.87,0.82,0.39,Heart_face_shape
0.76,0.74,0.65,0.78,0.57,0.58,0.84,0.83,0.79,0.93,0.96,0.86,0.67,0.96,0.93,0.87,0.95,0.93,0.76,0.88,0.42,Heart_face_shape
