chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,face_shape
0.88,0.84,0.81,0.84,0.62,0.66,0.84,0.8,0.74,0.9,0.92,0.78,0.72,0.95,0.95,0.93,0.96,0.9,0.78,0.91,0.53,Heart_face_shape
0.82,0.79,0.58,0.72,0.52,0.48,0.84,0.91,0.89,0.94,0.96,0.94,0.63,0.97,0.95,0.93,0.97,0.94,0.73,0.84,0.37,Heart_face_shape
0.81,0.77,0.72,0.8,0.51,0.51,0.86,0.94,0.93,0.97,0.96,0.88,0.62,0.97,0.97,0.94,0.97,0.93,0.81,0.91,0.28,Heart_face_shape
0.72,0.67,0.6,0.79,0.57,0.59,0.81,0.8,0.78,0.93,0.99,0.85,0.7,0.95,0.9,0.88,0.94,0.92,0.75,0.95,0.49,Heart_face_shape
0.77,0.76,0.65,0.74,0.58,0.56,0.81,0.81,0.78,0.91,0.96,0.89,0.69,0.95,0.92,0.91,0.94,0.93,0.8,0.94,0.47,Heart_face_shape
0.81,0.75,0.76,0.75,0.57,0.56,0.81,0.83,0.78,0.9,0.96,0.87,0.68,0.94,0.94,0.94,0.95,0.93,0.83,0.93,0.35,Heart_face_shape
0.79,0.76,0.77,0.82,0.53,0.55,0.83,0.91,0.88,0.94,0.97,0.83,0.64,0.97,0.97,0.95,0.98,0.93,0.82,0.98,0.34,Heart_face_shape
0.79,0.76,0.67,0.79,0.59,0.57,0.86,0.8,0.81,0.95,0.94,0.87,0.7,0.94,0.92,0.89,0.94,0.89,0.75,0.9,0.45,Heart_face_shape
0.74,0.66,0.74,0.84,0.64,0.67,0.85,0.71,0.74,0.93,0.94,0.8,0.75,0.92,0.9,0.88,0.91,0.89,0.77,0.81,0.55,Heart_face_shape
0.93,0.91,0.74,0.78,0.56,0.54,0.84,0.87,0.84,0.93,0.95,0.88,0.66,0.96,0.95,0.92,0.96,0.95,0.85,0.91,0.35,Heart_face_shape
0.72,0.66,0.61,0.8,0.55,0.54,0.86,0.9,0.88,0.95,0.94,0.87,0.65,0.97,0.96,0.92,0.97,0.88,0.73,0.88,0.4,Heart_face_shape
0.86,0.82,0.63,0.75,0.61,0.55,0.88,0.8,0.79,0.94,0.91,0.91,0.7,0.94,0.92,0.88,0.94,0.94,0.8,0.84,0.44,Heart_face_shape
0.78,0.74,0.74,0.83,0.57,0.6,0.82,0.83,0.81,0.93,0.97,0.81,0.68,0.96,0.93,0.91,0.95,0.9,0.86,0.91,0.41,Heart_face_shape
0.74,0.7,0.59,0.78,0.58,0.58,0.83,0.79,0.78,0.94,0.97,0.87,0.71,0.95,0.89,0.86,0.93,0.92,0.72,0.91,0.48,Heart_face_shape
0.74,0.67,0.73,0.76,0.56,0.54,0.83,0.89,0.82,0.91,0.93,0.86,0.65,0.97,0.96,0.96,0.98,0.88,0.81,0.9,0.36,Heart_face_shape
0.85,0.83,0.7,0.82,0.58,0.6,0.85,0.8,0.81,0.95,0.96,0.84,0.7,0.95,0.92,0.89,0.93,0.92,0.84,0.89,0.45,Heart_face_shape
0.78,0.73,0.66,0.79,0.56,0.52,0.9,0.91,0.9,0.96,0.91,0.88,0.63,0.97,0.97,0.95,0.98,0.89,0.73,0.84,0.36,Heart_face_shape
