chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,face_shape
144.56,120.14,120.78,1.7,1.89,2.35,1.37,0.73,0.73,0.13924720375063618,0.1016356591353622,0.08176217564845212,0.19177401735236133,0.1502888549859114,0.12564588296623627,0.07148130141508233,0.03008877793292716,0.02930729893466388,0.027327878482807075,0.051440949395560175,Heart_face_shape
133.7,106.52,142.98,1.86,1.92,2.55,1.4,0.72,0.73,0.1428652403917269,0.10177197273031832,0.07660880952216488,0.19517560875741052,0.14922425309923468,0.12715110317679393,0.07322594244565127,0.029426258839774566,0.026376645877305368,0.028201386888467645,0.04997277827115197,Heart_face_shape
134.46,109.88,151.88,1.73,2.05,2.51,1.42,0.73,0.69,0.13695136084771833,0.09666983920421234,0.07897949967912606,0.19839033217299018,0.15168998545464885,0.13046291294642406,0.07364101120505699,0.027363783480251626,0.030577404769339813,0.027758459861236665,0.047515410378995176,Heart_face_shape
138.46,106.68,156.48,1.65,2.17,2.64,1.35,0.63,0.62,0.13243708359149303,0.09795900767638727,0.08025223222624887,0.21213899557359675,0.14166220453780154,0.12258768938617272,0.07437025717652043,0.02938836763571741,0.033642668771358686,0.025415379101679673,0.050146114323023676,Heart_face_shape
135.62,111.98,147.92,1.77,1.97,2.53,1.38,0.74,0.7,0.13641198496059753,0.09901678315835624,0.07705236998770888,0.19513669514937168,0.15163734103032447,0.13034192961543725,0.07328355676350543,0.028390193134461013,0.03094799286851803,0.029588063577507175,0.048193089754212166,Heart_face_shape
135.96,108.9,130.66,1.81,1.97,2.55,1.4,0.69,0.71,0.14252318487319976,0.10175333703345427,0.078759844724413,0.2005375980408571,0.14598603542996613,0.1223949717380547,0.07005575151411816,0.029573450006909238,0.028791142006668963,0.027278827142567356,0.05234585748979141,Heart_face_shape
123.22,95.8,137.66,1.84,1.99,2.65,1.38,0.69,0.69,0.1400388653303818,0.10141584478697713,0.07602348434101995,0.20177839172120865,0.1483945322993729,0.12382722411694104,0.07152886248395743,0.029136426413939775,0.029908385957346163,0.0256416551201474,0.052306327428707854,Heart_face_shape
151.08,126.54,156.96,1.72,2.07,2.56,1.39,0.69,0.67,0.13590429661890807,0.09794473068384686,0.07905380006279025,0.20274446058900758,0.14947623293329107,0.12654323502911693,0.07087561775395247,0.029157844416314554,0.03444889149098252,0.026929110718880808,0.04692177970290891,Heart_face_shape
117.94,94.76,131.24,1.75,2.03,2.49,1.42,0.71,0.7,0.13997696774476157,0.09841551388198345,0.07999517350812448,0.1995809838464258,0.14789513688342265,0.12670008499747024,0.07291080783742376,0.029001878247594867,0.026121787483402163,0.027735668360436897,0.05166599720895402,Heart_face_shape
142.56,118.62,129.6,1.73,1.97,2.47,1.38,0.7,0.7,0.1390929164831527,0.10073058112278448,0.08028584131250484,0.19859033384892893,0.14706707187689919,0.12376323891625313,0.06961305025029746,0.030884851624071844,0.03113190249615478,0.02679783272642798,0.052042379342524786,Heart_face_shape
132.44,107.16,161.66,1.77,2.09,2.73,1.35,0.68,0.65,0.1346161684955577,0.09941949654541785,0.07615495950591894,0.2082300753041955,0.14815142542035684,0.12493933421656017,0.07020573179262411,0.02861295982389472,0.03399511866469441,0.026798839777125143,0.04887589045365453,Heart_face_shape
136.18,106.72,142.84,1.68,2.07,2.54,1.37,0.72,0.66,0.13305359611973294,0.09688982757514057,0.07913775071466284,0.20104286664190635,0.15319472636713863,0.12898720651704448,0.0734489076229939,0.028222893047928927,0.030582652484650526,0.026617347757056573,0.04882222515174432,Heart_face_shape
130.98,105.44,126.6,1.81,1.93,2.43,1.44,0.73,0.74,0.1437315154454675,0.09994630634022758,0.07939746292588362,0.19317989145757886,0.15019193918513074,0.12828597080876777,0.07211845625184764,0.0300084290544064,0.02555278446502428,0.02556907569043762,0.052018168375228005,Heart_face_shape
