chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,face_shape
0.85,0.82,0.62,0.84,0.79,0.8,0.89,0.88,0.89,0.94,0.92,0.95,0.86,0.95,0.92,0.88,0.9,0.74,0.71,0.89,Heart_face_shape
0.87,0.85,0.74,0.92,0.81,0.86,0.91,0.87,0.89,0.96,0.92,0.89,0.88,0.94,0.93,0.9,0.88,0.66,0.74,0.87,Heart_face_shape
0.89,0.87,0.78,0.86,0.86,0.85,0.92,0.88,0.84,0.92,0.87,0.92,0.89,0.96,0.95,0.91,0.82,0.77,0.73,0.83,Heart_face_shape
0.86,0.79,0.81,0.82,0.91,0.89,0.88,0.76,0.76,0.89,0.89,0.94,0.96,0.89,0.89,0.92,0.88,0.84,0.66,0.87,Heart_face_shape
0.88,0.87,0.76,0.88,0.83,0.86,0.9,0.89,0.85,0.92,0.9,0.9,0.88,0.96,0.95,0.91,0.85,0.78,0.77,0.84,Heart_face_shape
0.83,0.79,0.67,0.9,0.83,0.86,0.91,0.83,0.87,0.96,0.92,0.92,0.9,0.92,0.89,0.87,0.88,0.72,0.71,0.91,Heart_face_shape
0.86,0.82,0.71,0.91,0.84,0.9,0.9,0.83,0.84,0.94,0.92,0.89,0.91,0.94,0.9,0.88,0.87,0.75,0.67,0.91,Heart_face_shape
0.89,0.87,0.81,0.85,0.87,0.87,0.9,0.83,0.82,0.91,0.89,0.92,0.91,0.94,0.92,0.88,0.87,0.86,0.7,0.82,Heart_face_shape
0.84,0.81,0.68,0.87,0.85,0.84,0.92,0.86,0.85,0.94,0.89,0.93,0.9,0.93,0.92,0.9,0.87,0.66,0.73,0.9,Heart_face_shape
0.84,0.82,0.67,0.86,0.83,0.84,0.9,0.84,0.85,0.94,0.91,0.94,0.9,0.93,0.9,0.86,0.92,0.78,0.7,0.9,Heart_face_shape
0.85,0.84,0.83,0.88,0.88,0.93,0.88,0.82,0.79,0.91,0.9,0.89,0.94,0.94,0.91,0.87,0.86,0.85,0.7,0.85,Heart_face_shape
0.86,0.83,0.74,0.83,0.87,0.86,0.89,0.87,0.8,0.89,0.88,0.92,0.91,0.97,0.94,0.91,0.84,0.77,0.7,0.85,Heart_face_shape
0.84,0.82,0.65,0.9,0.81,0.82,0.94,0.88,0.9,0.97,0.9,0.93,0.87,0.95,0.94,0.89,0.9,0.64,0.67,0.9,Heart_face_shape
0.89,0.86,0.74,0.91,0.82,0.88,0.89,0.86,0.87,0.93,0.92,0.88,0.89,0.94,0.92,0.89,0.88,0.89,0.72,0.82,Heart_face_shape
0.86,0.86,0.73,0.91,0.79,0.84,0.9,0.9,0.89,0.95,0.92,0.9,0.86,0.95,0.94,0.89,0.89,0.69,0.76,0.88,Heart_face_shape
0.86,0.83,0.68,0.88,0.81,0.83,0.91,0.89,0.88,0.94,0.9,0.92,0.87,0.95,0.94,0.91,0.88,0.62,0.76,0.89,Heart_face_shape
0.89,0.86,0.68,0.88,0.79,0.83,0.88,0.88,0.88,0.93,0.93,0.91,0.87,0.95,0.93,0.89,0.92,0.85,0.66,0.85,Heart_face_shape
0.83,0.77,0.67,0.84,0.89,0.91,0.88,0.77,0.78,0.9,0.9,0.92,0.95,0.91,0.88,0.87,0.89,0.87,0.65,0.94,Heart_face_shape
0.85,0.81,0.63,0.85,0.82,0.84,0.88,0.86,0.84,0.92,0.92,0.93,0.89,0.94,0.91,0.87,0.9,0.73,0.79,0.9,Heart_face_shape
0.85,0.82,0.68,0.86,0.79,0.84,0.86,0.83,0.85,0.94,0.95,0.94,0.89,0.92,0.89,0.85,0.96,0.78,0.67,0.9,Heart_face_shape
0.85,0.81,0.66,0.89,0.83,0.87,0.89,0.83,0.85,0.94,0.92,0.9,0.9,0.93,0.9,0.88,0.92,0.75,0.68,0.92,Heart_face_shape
0.82,0.8,0.74,0.83,0.89,0.87,0.89,0.82,0.79,0.9,0.88,0.94,0.93,0.95,0.91,0.85,0.88,0.84,0.62,0.87,Heart_face_shape
0.87,0.85,0.75,0.89,0.8,0.87,0.86,0.84,0.85,0.93,0.94,0.9,0.89,0.93,0.9,0.86,0.9,0.85,0.75,0.85,Heart_face_shape
0.83,0.8,0.65,0.87,0.82,0.87,0.86,0.83,0.83,0.92,0.93,0.91,0.91,0.93,0.89,0.85,0.92,0.74,0.71,0.93,Heart_face_shape
0.86,0.83,0.73,0.88,0.85,0.89,0.88,0.84,0.82,0.91,0.9,0.89,0.9,0.95,0.92,0.9,0.87,0.79,0.77,0.84,Heart_face_shape
0.89,0.86,0.74,0.88,0.84,0.86,0.9,0.86,0.85,0.93,0.9,0.91,0.89,0.94,0.93,0.9,0.89,0.84,0.69,0.85,Heart_face_shape
0.85,0.81,0.74,0.89,0.86,0.88,0.92,0.84,0.84,0.94,0.89,0.9,0.91,0.95,0.92,0.9,0.84,0.75,0.68,0.86,Heart_face_shape
0.86,0.83,0.68,0.89,0.83,0.84,0.93,0.87,0.88,0.95,0.89,0.91,0.88,0.94,0.94,0.92,0.86,0.64,0.73,0.9,Heart_face_shape
0.83,0.8,0.63,0.87,0.82,0.83,0.9,0.87,0.88,0.94,0.91,0.93,0.88,0.94,0.91,0.88,0.9,0.75,0.7,0.9,Heart_face_shape
0.84,0.81,0.74,0.85,0.83,0.83,0.89,0.84,0.84,0.93,0.91,0.94,0.9,0.92,0.92,0.91,0.89,0.74,0.69,0.88,Heart_face_shape
0.84,0.82,0.67,0.92,0.82,0.89,0.89,0.83,0.85,0.94,0.92,0.88,0.9,0.94,0.9,0.87,0.9,0.77,0.69,0.89,Heart_face_shape
0.84,0.8,0.73,0.91,0.83,0.88,0.91,0.82,0.87,0.96,0.93,0.91,0.91,0.92,0.9,0.89,0.89,0.68,0.69,0.88,Heart_face_shape
0.91,0.89,0.78,0.88,0.79,0.83,0.89,0.88,0.89,0.94,0.92,0.91,0.87,0.94,0.94,0.92,0.9,0.75,0.7,0.83,Heart_face_shape
0.86,0.82,0.63,0.92,0.79,0.84,0.9,0.88,0.9,0.96,0.93,0.9,0.87,0.94,0.91,0.89,0.89,0.71,0.78,0.86,Heart_face_shape
0.84,0.81,0.66,0.92,0.8,0.88,0.88,0.83,0.87,0.95,0.95,0.89,0.9,0.93,0.89,0.86,0.91,0.68,0.73,0.94,Heart_face_shape
0.83,0.8,0.69,0.91,0.83,0.87,0.92,0.83,0.87,0.96,0.92,0.91,0.9,0.94,0.9,0.87,0.89,0.67,0.66,0.91,Heart_face_shape
0.86,0.83,0.78,0.84,0.82,0.83,0.88,0.87,0.84,0.92,0.91,0.94,0.88,0.93,0.94,0.92,0.89,0.69,0.8,0.84,Heart_face_shape
0.85,0.8,0.73,0.84,0.87,0.9,0.86,0.78,0.78,0.9,0.91,0.91,0.94,0.91,0.89,0.89,0.89,0.87,0.66,0.91,Heart_face_shape
0.88,0.85,0.72,0.83,0.8,0.82,0.86,0.86,0.84,0.91,0.93,0.95,0.88,0.94,0.91,0.89,0.92,0.85,0.71,0.81,Heart_face_shape
0.86,0.83,0.7,0.83,0.86,0.81,0.92,0.86,0.84,0.93,0.88,0.96,0.89,0.95,0.93,0.91,0.88,0.73,0.66,0.86,Heart_face_shape
0.83,0.81,0.72,0.87,0.84,0.84,0.92,0.86,0.87,0.95,0.9,0.93,0.9,0.93,0.92,0.87,0.87,0.64,0.85,0.85,Heart_face_shape
0.88,0.89,0.78,0.86,0.85,0.84,0.92,0.89,0.85,0.92,0.87,0.92,0.88,0.97,0.97,0.91,0.85,0.77,0.68,0.82,Heart_face_shape
0.89,0.85,0.74,0.87,0.84,0.86,0.9,0.86,0.85,0.93,0.9,0.91,0.89,0.94,0.93,0.91,0.88,0.84,0.7,0.85,Heart_face_shape
0.84,0.83,0.75,0.86,0.84,0.87,0.89,0.84,0.83,0.92,0.9,0.91,0.91,0.93,0.93,0.9,0.85,0.78,0.76,0.85,Heart_face_shape
0.85,0.83,0.71,0.88,0.82,0.86,0.89,0.87,0.85,0.93,0.91,0.91,0.89,0.95,0.93,0.89,0.87,0.71,0.82,0.86,Heart_face_shape
0.86,0.82,0.68,0.85,0.82,0.8,0.92,0.88,0.88,0.94,0.9,0.96,0.87,0.94,0.93,0.91,0.91,0.67,0.7,0.88,Heart_face_shape
0.84,0.83,0.66,0.87,0.81,0.83,0.89,0.87,0.87,0.94,0.92,0.93,0.88,0.93,0.92,0.88,0.91,0.78,0.68,0.88,Heart_face_shape
0.83,0.84,0.71,0.88,0.83,0.85,0.9,0.9,0.87,0.93,0.9,0.9,0.88,0.95,0.95,0.89,0.84,0.67,0.82,0.87,Heart_face_shape
0.87,0.84,0.75,0.87,0.81,0.86,0.87,0.87,0.85,0.92,0.92,0.91,0.89,0.95,0.93,0.89,0.9,0.79,0.68,0.85,Heart_face_shape
0.87,0.85,0.73,0.88,0.8,0.87,0.86,0.86,0.85,0.92,0.94,0.9,0.89,0.94,0.91,0.85,0.91,0.84,0.75,0.85,Heart_face_shape
0.82,0.8,0.59,0.87,0.82,0.85,0.88,0.87,0.85,0.92,0.92,0.91,0.89,0.95,0.91,0.86,0.92,0.62,0.8,0.96,Heart_face_shape
0.87,0.88,0.79,0.89,0.84,0.87,0.92,0.9,0.85,0.93,0.89,0.89,0.88,0.96,0.96,0.9,0.86,0.73,0.76,0.83,Heart_face_shape
0.83,0.82,0.72,0.84,0.87,0.86,0.9,0.84,0.82,0.91,0.88,0.93,0.91,0.95,0.92,0.87,0.86,0.74,0.8,0.88,Heart_face_shape
0.84,0.82,0.72,0.83,0.83,0.8,0.92,0.88,0.87,0.94,0.89,0.97,0.88,0.93,0.94,0.9,0.88,0.67,0.73,0.87,Heart_face_shape
0.84,0.83,0.69,0.87,0.82,0.82,0.92,0.9,0.89,0.94,0.89,0.93,0.87,0.95,0.94,0.9,0.88,0.6,0.88,0.86,Heart_face_shape
0.87,0.82,0.74,0.84,0.84,0.86,0.86,0.83,0.82,0.91,0.92,0.93,0.91,0.93,0.91,0.88,0.92,0.77,0.73,0.87,Heart_face_shape
0.87,0.82,0.82,0.87,0.9,0.94,0.88,0.77,0.77,0.9,0.89,0.89,0.95,0.91,0.9,0.9,0.89,0.94,0.62,0.87,Heart_face_shape
0.88,0.84,0.8,0.94,0.79,0.89,0.88,0.86,0.88,0.95,0.95,0.87,0.89,0.93,0.9,0.91,0.93,0.73,0.71,0.84,Heart_face_shape
0.82,0.79,0.72,0.91,0.84,0.89,0.9,0.82,0.84,0.95,0.92,0.9,0.92,0.93,0.9,0.85,0.87,0.74,0.73,0.88,Heart_face_shape
0.79,0.76,0.67,0.85,0.88,0.88,0.9,0.82,0.8,0.91,0.89,0.92,0.93,0.94,0.9,0.87,0.82,0.7,0.82,0.9,Heart_face_shape
0.86,0.83,0.74,0.81,0.84,0.79,0.92,0.9,0.85,0.91,0.87,0.97,0.88,0.96,0.97,0.94,0.84,0.65,0.68,0.85,Heart_face_shape
0.85,0.81,0.76,0.83,0.84,0.83,0.88,0.83,0.83,0.92,0.91,0.95,0.9,0.92,0.92,0.92,0.88,0.71,0.74,0.86,Heart_face_shape
0.81,0.77,0.66,0.82,0.87,0.81,0.93,0.86,0.84,0.93,0.87,0.98,0.9,0.95,0.93,0.9,0.84,0.56,0.77,0.9,Heart_face_shape
0.85,0.79,0.67,0.9,0.84,0.89,0.89,0.82,0.84,0.94,0.92,0.9,0.92,0.93,0.9,0.89,0.9,0.65,0.68,0.94,Heart_face_shape
0.86,0.83,0.69,0.93,0.79,0.84,0.92,0.88,0.93,0.98,0.93,0.91,0.87,0.94,0.92,0.89,0.9,0.65,0.65,0.9,Heart_face_shape
0.82,0.82,0.67,0.85,0.84,0.83,0.9,0.88,0.85,0.92,0.89,0.93,0.88,0.95,0.93,0.88,0.87,0.67,0.92,0.86,Heart_face_shape
0.84,0.82,0.65,0.9,0.83,0.83,0.95,0.89,0.9,0.96,0.88,0.92,0.87,0.95,0.94,0.91,0.84,0.61,0.75,0.9,Heart_face_shape
0.87,0.83,0.71,0.88,0.84,0.9,0.86,0.83,0.82,0.91,0.92,0.89,0.91,0.94,0.9,0.87,0.88,0.86,0.73,0.88,Heart_face_shape
0.89,0.88,0.81,0.85,0.87,0.86,0.91,0.84,0.82,0.92,0.88,0.92,0.91,0.95,0.92,0.88,0.87,0.88,0.71,0.81,Heart_face_shape
0.87,0.87,0.78,0.87,0.84,0.85,0.91,0.9,0.85,0.92,0.88,0.91,0.88,0.97,0.95,0.9,0.86,0.78,0.76,0.8,Heart_face_shape
0.88,0.87,0.75,0.83,0.79,0.79,0.88,0.89,0.88,0.92,0.92,0.96,0.86,0.95,0.94,0.89,0.9,0.79,0.79,0.8,Heart_face_shape
0.88,0.86,0.73,0.9,0.82,0.88,0.88,0.86,0.85,0.93,0.91,0.88,0.89,0.93,0.93,0.89,0.88,0.87,0.72,0.86,Heart_face_shape
0.85,0.82,0.72,0.9,0.82,0.86,0.91,0.86,0.88,0.95,0.91,0.91,0.89,0.95,0.92,0.89,0.88,0.71,0.69,0.87,Heart_face_shape
0.86,0.82,0.75,0.81,0.83,0.77,0.92,0.89,0.88,0.94,0.89,0.99,0.87,0.94,0.93,0.91,0.9,0.76,0.66,0.82,Heart_face_shape
0.85,0.84,0.77,0.85,0.83,0.82,0.91,0.87,0.87,0.94,0.9,0.94,0.89,0.94,0.93,0.89,0.89,0.71,0.74,0.83,Heart_face_shape
0.82,0.8,0.59,0.87,0.82,0.85,0.88,0.87,0.85,0.92,0.92,0.91,0.89,0.95,0.91,0.86,0.92,0.62,0.8,0.96,Heart_face_shape
0.85,0.82,0.75,0.81,0.89,0.88,0.86,0.81,0.77,0.88,0.89,0.93,0.93,0.93,0.91,0.88,0.84,0.88,0.71,0.86,Heart_face_shape
0.87,0.85,0.71,0.83,0.82,0.8,0.9,0.88,0.87,0.93,0.9,0.96,0.88,0.94,0.93,0.9,0.89,0.76,0.68,0.86,Heart_face_shape
0.86,0.84,0.78,0.88,0.87,0.94,0.86,0.81,0.78,0.89,0.9,0.87,0.93,0.92,0.91,0.89,0.84,0.87,0.82,0.86,Heart_face_shape
0.89,0.88,0.74,0.91,0.81,0.86,0.9,0.89,0.88,0.94,0.92,0.89,0.88,0.96,0.93,0.89,0.9,0.77,0.72,0.83,Heart_face_shape
0.84,0.81,0.66,0.89,0.82,0.86,0.9,0.86,0.87,0.95,0.91,0.91,0.89,0.94,0.91,0.86,0.89,0.71,0.77,0.89,Heart_face_shape
0.86,0.81,0.67,0.8,0.92,0.89,0.88,0.78,0.76,0.88,0.87,0.94,0.95,0.93,0.89,0.86,0.85,0.84,0.72,0.93,Oblong_face_shape
0.85,0.81,0.7,0.8,0.92,0.9,0.87,0.78,0.74,0.87,0.87,0.93,0.95,0.92,0.9,0.87,0.87,0.87,0.72,0.92,Oblong_face_shape
0.82,0.79,0.7,0.89,0.9,0.95,0.9,0.77,0.78,0.91,0.89,0.88,0.95,0.91,0.88,0.86,0.85,0.89,0.72,0.92,Oblong_face_shape
0.84,0.79,0.75,0.83,0.93,0.91,0.89,0.8,0.76,0.88,0.86,0.92,0.95,0.92,0.91,0.9,0.82,0.8,0.74,0.91,Oblong_face_shape
0.84,0.78,0.69,0.91,0.85,0.93,0.89,0.78,0.82,0.94,0.92,0.88,0.94,0.92,0.88,0.86,0.89,0.71,0.72,0.94,Oblong_face_shape
0.85,0.81,0.79,0.86,0.89,0.92,0.89,0.78,0.78,0.91,0.89,0.91,0.95,0.92,0.9,0.88,0.88,0.81,0.69,0.88,Oblong_face_shape
0.87,0.82,0.83,0.8,0.99,0.96,0.87,0.75,0.7,0.85,0.85,0.91,1.0,0.91,0.89,0.88,0.81,0.97,0.71,0.85,Oblong_face_shape
0.82,0.78,0.58,0.91,0.84,0.94,0.86,0.8,0.8,0.91,0.93,0.86,0.93,0.92,0.87,0.85,0.9,0.85,0.73,0.97,Oblong_face_shape
0.85,0.81,0.69,0.78,0.85,0.81,0.86,0.83,0.8,0.89,0.9,0.98,0.91,0.93,0.91,0.88,0.92,0.83,0.67,0.86,Oblong_face_shape
0.88,0.82,0.75,0.85,0.93,0.94,0.89,0.76,0.76,0.89,0.87,0.9,0.96,0.91,0.89,0.89,0.84,0.88,0.74,0.9,Oblong_face_shape
0.84,0.8,0.68,0.81,0.93,0.89,0.89,0.81,0.76,0.87,0.86,0.93,0.95,0.95,0.9,0.87,0.86,0.88,0.68,0.91,Oblong_face_shape
0.89,0.84,0.79,0.85,0.88,0.9,0.88,0.8,0.79,0.9,0.89,0.91,0.93,0.92,0.9,0.9,0.89,0.94,0.68,0.83,Oblong_face_shape
0.89,0.84,0.73,0.79,0.84,0.78,0.91,0.87,0.84,0.91,0.87,0.99,0.88,0.95,0.94,0.93,0.88,0.71,0.74,0.86,Oblong_face_shape
0.85,0.82,0.68,0.8,0.93,0.91,0.87,0.8,0.73,0.86,0.86,0.92,0.96,0.95,0.89,0.84,0.84,0.8,0.78,0.95,Oblong_face_shape
0.81,0.75,0.68,0.78,0.95,0.87,0.89,0.75,0.74,0.89,0.87,0.97,0.97,0.89,0.87,0.85,0.88,0.84,0.72,0.92,Oblong_face_shape
0.87,0.8,0.7,0.8,0.98,0.91,0.91,0.77,0.73,0.87,0.84,0.94,0.97,0.93,0.89,0.87,0.82,0.9,0.72,0.92,Oblong_face_shape
0.85,0.82,0.73,0.91,0.86,0.94,0.87,0.8,0.8,0.92,0.92,0.87,0.93,0.91,0.9,0.87,0.93,0.95,0.62,0.88,Oblong_face_shape
0.8,0.75,0.65,0.82,0.87,0.84,0.9,0.81,0.82,0.93,0.9,0.96,0.92,0.91,0.9,0.87,0.88,0.72,0.68,0.92,Oblong_face_shape
0.84,0.8,0.68,0.88,0.82,0.88,0.88,0.82,0.84,0.93,0.93,0.91,0.91,0.91,0.9,0.87,0.91,0.68,0.73,0.94,Oblong_face_shape
0.84,0.79,0.62,0.87,0.83,0.87,0.88,0.81,0.83,0.93,0.93,0.92,0.91,0.92,0.89,0.87,0.91,0.78,0.68,0.94,Oblong_face_shape
0.83,0.79,0.67,0.87,0.9,0.92,0.9,0.77,0.79,0.92,0.89,0.9,0.95,0.9,0.88,0.87,0.87,0.79,0.73,0.94,Oblong_face_shape
0.84,0.8,0.66,0.82,0.84,0.85,0.86,0.8,0.8,0.91,0.92,0.95,0.92,0.91,0.88,0.87,0.94,0.83,0.69,0.91,Oblong_face_shape
0.83,0.79,0.69,0.79,0.95,0.89,0.88,0.78,0.74,0.86,0.85,0.94,0.96,0.94,0.9,0.87,0.86,0.91,0.65,0.9,Oblong_face_shape
0.88,0.83,0.68,0.87,0.84,0.87,0.89,0.84,0.83,0.91,0.89,0.9,0.9,0.94,0.92,0.93,0.86,0.81,0.71,0.88,Oblong_face_shape
0.87,0.82,0.67,0.86,0.83,0.85,0.88,0.83,0.84,0.92,0.92,0.92,0.9,0.92,0.9,0.89,0.89,0.82,0.72,0.88,Oblong_face_shape
0.85,0.79,0.71,0.83,0.9,0.91,0.87,0.76,0.76,0.89,0.89,0.92,0.96,0.9,0.88,0.86,0.91,0.86,0.71,0.92,Oblong_face_shape
0.86,0.8,0.74,0.86,0.88,0.92,0.88,0.78,0.79,0.91,0.91,0.9,0.94,0.92,0.89,0.88,0.87,0.8,0.64,0.91,Oblong_face_shape
0.92,0.86,0.76,0.81,0.82,0.82,0.84,0.86,0.82,0.88,0.91,0.94,0.88,0.94,0.92,0.94,0.92,0.86,0.76,0.81,Oblong_face_shape
0.82,0.81,0.68,0.8,0.87,0.81,0.9,0.84,0.83,0.91,0.88,0.98,0.9,0.95,0.91,0.85,0.91,0.79,0.73,0.86,Oblong_face_shape
0.97,0.92,0.94,0.88,0.84,0.87,0.9,0.87,0.84,0.92,0.89,0.9,0.89,0.94,0.95,0.97,0.88,0.85,0.72,0.74,Oblong_face_shape
0.92,0.88,0.81,0.92,0.82,0.91,0.88,0.81,0.84,0.94,0.94,0.88,0.91,0.91,0.9,0.89,0.93,0.98,0.65,0.81,Oblong_face_shape
0.88,0.85,0.72,0.87,0.86,0.82,0.97,0.9,0.89,0.95,0.86,0.94,0.87,0.96,0.96,0.95,0.83,0.64,0.65,0.89,Oblong_face_shape
0.87,0.83,0.73,0.87,0.85,0.89,0.86,0.8,0.8,0.91,0.92,0.91,0.93,0.91,0.89,0.87,0.91,0.81,0.73,0.9,Oblong_face_shape
0.86,0.8,0.68,0.86,0.84,0.88,0.87,0.81,0.82,0.91,0.92,0.91,0.92,0.92,0.9,0.89,0.91,0.82,0.66,0.9,Oblong_face_shape
0.84,0.8,0.71,0.82,0.88,0.86,0.89,0.82,0.79,0.91,0.89,0.95,0.93,0.93,0.91,0.87,0.87,0.72,0.74,0.9,Oblong_face_shape
0.84,0.78,0.7,0.82,0.87,0.86,0.87,0.78,0.79,0.9,0.9,0.95,0.93,0.91,0.88,0.88,0.91,0.87,0.7,0.89,Oblong_face_shape
0.92,0.87,0.81,0.87,0.87,0.92,0.87,0.82,0.79,0.89,0.89,0.88,0.92,0.93,0.92,0.93,0.85,0.95,0.72,0.84,Oblong_face_shape
0.86,0.8,0.75,0.81,0.95,0.91,0.9,0.76,0.74,0.88,0.86,0.94,0.97,0.91,0.89,0.9,0.88,0.93,0.63,0.87,Oblong_face_shape
0.81,0.76,0.58,0.88,0.83,0.89,0.86,0.78,0.83,0.93,0.94,0.91,0.92,0.91,0.87,0.83,0.91,0.81,0.7,0.97,Oblong_face_shape
0.83,0.78,0.73,0.87,0.86,0.9,0.88,0.76,0.8,0.93,0.93,0.91,0.94,0.89,0.86,0.86,0.9,0.81,0.73,0.91,Oblong_face_shape
0.82,0.78,0.76,0.79,0.91,0.86,0.88,0.76,0.77,0.9,0.88,0.97,0.95,0.89,0.88,0.87,0.93,0.85,0.71,0.86,Oblong_face_shape
0.87,0.84,0.76,0.81,0.93,0.91,0.88,0.8,0.74,0.86,0.86,0.92,0.95,0.94,0.91,0.87,0.84,0.9,0.77,0.88,Oblong_face_shape
0.81,0.77,0.62,0.85,0.84,0.84,0.91,0.83,0.85,0.94,0.9,0.94,0.9,0.92,0.9,0.88,0.91,0.71,0.72,0.94,Oblong_face_shape
0.83,0.77,0.59,0.88,0.86,0.89,0.9,0.81,0.82,0.93,0.91,0.91,0.92,0.93,0.87,0.85,0.89,0.74,0.73,0.97,Oblong_face_shape
0.84,0.78,0.7,0.83,0.9,0.91,0.88,0.77,0.77,0.9,0.89,0.92,0.96,0.91,0.88,0.88,0.88,0.87,0.71,0.88,Oblong_face_shape
0.82,0.77,0.67,0.78,0.9,0.83,0.9,0.8,0.78,0.89,0.87,0.99,0.93,0.92,0.89,0.91,0.89,0.74,0.66,0.93,Oblong_face_shape
0.86,0.77,0.65,0.91,0.82,0.92,0.86,0.77,0.83,0.94,0.95,0.89,0.93,0.89,0.85,0.85,0.94,0.82,0.79,0.92,Oblong_face_shape
0.88,0.86,0.79,0.77,0.89,0.79,0.92,0.87,0.82,0.89,0.85,0.99,0.9,0.96,0.95,0.93,0.84,0.77,0.66,0.82,Oblong_face_shape
0.83,0.76,0.73,0.82,0.89,0.88,0.88,0.75,0.78,0.91,0.9,0.95,0.95,0.89,0.86,0.87,0.94,0.77,0.67,0.94,Oblong_face_shape
0.85,0.81,0.7,0.83,0.89,0.88,0.9,0.8,0.79,0.91,0.88,0.93,0.94,0.91,0.89,0.88,0.88,0.84,0.69,0.91,Oblong_face_shape
0.8,0.77,0.58,0.85,0.84,0.82,0.93,0.87,0.87,0.94,0.88,0.95,0.88,0.96,0.92,0.88,0.87,0.6,0.78,0.92,Oblong_face_shape
0.82,0.75,0.62,0.82,0.89,0.83,0.94,0.82,0.83,0.92,0.86,0.97,0.92,0.92,0.9,0.89,0.83,0.66,0.88,0.91,Oblong_face_shape
0.91,0.87,0.8,0.89,0.85,0.88,0.92,0.88,0.85,0.93,0.88,0.89,0.89,0.96,0.96,0.95,0.82,0.74,0.71,0.82,Oblong_face_shape
0.84,0.78,0.66,0.82,0.86,0.87,0.86,0.78,0.78,0.89,0.91,0.93,0.93,0.9,0.88,0.87,0.95,0.87,0.71,0.94,Oblong_face_shape
0.84,0.79,0.73,0.87,0.89,0.94,0.88,0.77,0.78,0.9,0.9,0.89,0.95,0.91,0.88,0.87,0.85,0.92,0.71,0.9,Oblong_face_shape
0.84,0.8,0.76,0.79,0.95,0.92,0.87,0.76,0.72,0.86,0.86,0.93,0.98,0.9,0.89,0.86,0.84,0.94,0.77,0.89,Oblong_face_shape
0.85,0.81,0.72,0.84,0.86,0.83,0.92,0.86,0.84,0.93,0.88,0.95,0.9,0.93,0.93,0.92,0.85,0.68,0.74,0.87,Oblong_face_shape
0.82,0.8,0.64,0.87,0.87,0.85,0.94,0.86,0.85,0.94,0.88,0.93,0.9,0.96,0.92,0.85,0.85,0.68,0.74,0.92,Oblong_face_shape
